city,date,pm25,pm10,o3,no2,so2,co,hour,day_of_week,month,is_weekend,season,aqi,dew,temperature,humidity,wind,no,nh3,wind_direction,pressure,feels_like,weather,weather_description
jharsuguda,2019-05-03 00:00:00,158.0,84.0,6.0,7.0,2.0,24.0,0,4,5,0,spring,,,,,,,,,,,,
jharsuguda,2019-05-04 00:00:00,,4.0,,,,,0,5,5,1,spring,,,,,,,,,,,,
jharsuguda,2019-05-05 00:00:00,47.0,71.0,,,,,0,6,5,1,spring,,,,,,,,,,,,
jharsuguda,2019-05-06 00:00:00,128.0,56.0,13.0,7.0,3.0,27.0,0,0,5,0,spring,,,,,,,,,,,,
jharsuguda,2019-05-07 00:00:00,22.0,16.0,3.0,4.0,,16.0,0,1,5,0,spring,,,,,,,,,,,,
jharsuguda,2019-05-08 00:00:00,,21.0,1.0,2.0,,17.0,0,2,5,0,spring,,,,,,,,,,,,
jharsuguda,2019-05-09 00:00:00,56.0,28.0,3.0,2.0,4.0,17.0,0,3,5,0,spring,,,,,,,,,,,,
jharsuguda,2019-05-10 00:00:00,99.0,49.0,2.0,3.0,3.0,18.0,0,4,5,0,spring,,,,,,,,,,,,
jharsuguda,2019-05-11 00:00:00,167.0,117.0,3.0,3.0,4.0,13.0,0,5,5,1,spring,,,,,,,,,,,,
jharsuguda,2019-05-12 00:00:00,127.0,92.0,3.0,9.0,5.0,6.0,0,6,5,1,spring,,,,,,,,,,,,
jharsuguda,2019-06-03 00:00:00,144.0,88.0,5.0,8.0,3.0,24.0,0,0,6,0,summer,,,,,,,,,,,,
jharsuguda,2019-06-05 00:00:00,128.0,103.0,,,,,0,2,6,0,summer,,,,,,,,,,,,
jharsuguda,2019-06-06 00:00:00,103.0,58.0,9.0,7.0,3.0,26.0,0,3,6,0,summer,,,,,,,,,,,,
jharsuguda,2019-06-07 00:00:00,43.0,21.0,5.0,4.0,,15.0,0,4,6,0,summer,,,,,,,,,,,,
jharsuguda,2019-06-08 00:00:00,53.0,22.0,2.0,3.0,,17.0,0,5,6,1,summer,,,,,,,,,,,,
jharsuguda,2019-06-09 00:00:00,63.0,23.0,1.0,3.0,4.0,17.0,0,6,6,1,summer,,,,,,,,,,,,
jharsuguda,2019-06-10 00:00:00,88.0,40.0,3.0,4.0,3.0,18.0,0,0,6,0,summer,,,,,,,,,,,,
jharsuguda,2019-06-11 00:00:00,165.0,114.0,2.0,6.0,4.0,4.0,0,1,6,0,summer,,,,,,,,,,,,
jharsuguda,2019-06-12 00:00:00,142.0,91.0,5.0,8.0,5.0,6.0,0,2,6,0,summer,,,,,,,,,,,,
jharsuguda,2019-07-03 00:00:00,139.0,94.0,8.0,10.0,3.0,24.0,0,2,7,0,summer,,,,,,,,,,,,
jharsuguda,2019-07-05 00:00:00,150.0,119.0,,,,,0,4,7,0,summer,,,,,,,,,,,,
jharsuguda,2019-07-06 00:00:00,83.0,50.0,10.0,7.0,3.0,29.0,0,5,7,1,summer,,,,,,,,,,,,
jharsuguda,2019-07-07 00:00:00,33.0,31.0,5.0,8.0,,16.0,0,6,7,1,summer,,,,,,,,,,,,
jharsuguda,2019-07-08 00:00:00,38.0,15.0,4.0,2.0,1.0,16.0,0,0,7,0,summer,,,,,,,,,,,,
jharsuguda,2019-07-09 00:00:00,51.0,25.0,1.0,6.0,4.0,15.0,0,1,7,0,summer,,,,,,,,,,,,
jharsuguda,2019-07-10 00:00:00,75.0,40.0,1.0,3.0,3.0,18.0,0,2,7,0,summer,,,,,,,,,,,,
jharsuguda,2019-07-11 00:00:00,164.0,93.0,3.0,5.0,6.0,5.0,0,3,7,0,summer,,,,,,,,,,,,
