city,date,pm25,pm10,o3,no2,so2,co
jharsuguda,2019-09-08,,,2.0,3.0,,18.0
jharsuguda,2019-09-09,67.0,32.0,2.0,4.0,5.0,17.0
jharsuguda,2019-09-10,121.0,47.0,,,,
jharsuguda,2019-09-11,109.0,70.0,5.0,1.0,7.0,5.0
jharsuguda,2019-09-12,155.0,118.0,2.0,9.0,5.0,7.0
jharsuguda,2019-10-03,172.0,130.0,7.0,10.0,3.0,25.0
jharsuguda,2019-10-05,182.0,125.0,,,,
jharsuguda,2019-10-06,144.0,93.0,18.0,8.0,3.0,28.0
jharsuguda,2019-10-07,64.0,47.0,4.0,5.0,,16.0
jharsuguda,2019-10-08,93.0,,1.0,5.0,,18.0
jharsuguda,2019-10-09,55.0,35.0,2.0,6.0,4.0,16.0
jharsuguda,2019-10-10,77.0,58.0,2.0,4.0,4.0,18.0
jharsuguda,2019-10-11,114.0,77.0,5.0,8.0,7.0,5.0
jharsuguda,2019-10-12,163.0,156.0,3.0,7.0,5.0,9.0
jharsuguda,2019-11-03,166.0,109.0,8.0,9.0,3.0,27.0
jharsuguda,2019-11-04,,112.0,8.0,8.0,3.0,22.0
jharsuguda,2019-11-05,133.0,81.0,12.0,9.0,3.0,24.0
jharsuguda,2019-11-06,128.0,48.0,23.0,6.0,3.0,22.0
jharsuguda,2019-11-07,73.0,52.0,4.0,5.0,1.0,16.0
jharsuguda,2019-11-08,101.0,,2.0,5.0,,18.0
jharsuguda,2019-11-09,78.0,35.0,2.0,4.0,7.0,17.0
jharsuguda,2019-11-10,92.0,48.0,1.0,4.0,4.0,17.0
jharsuguda,2019-11-11,116.0,95.0,3.0,5.0,8.0,5.0
jharsuguda,2019-11-12,191.0,110.0,4.0,6.0,6.0,8.0
jharsuguda,2019-12-02,,208.0,5.0,14.0,9.0,31.0
jharsuguda,2019-12-03,164.0,120.0,8.0,7.0,3.0,28.0
jharsuguda,2019-12-04,160.0,99.0,12.0,8.0,3.0,19.0
jharsuguda,2019-12-05,129.0,89.0,14.0,9.0,3.0,25.0
jharsuguda,2019-12-06,76.0,37.0,12.0,4.0,11.0,14.0
jharsuguda,2019-12-07,77.0,63.0,3.0,5.0,1.0,17.0
jharsuguda,2019-12-08,,17.0,9.0,3.0,,17.0
jharsuguda,2019-12-09,95.0,30.0,3.0,5.0,4.0,16.0
jharsuguda,2019-12-10,86.0,56.0,3.0,2.0,4.0,18.0
jharsuguda,2019-12-11,143.0,89.0,8.0,5.0,7.0,5.0
jharsuguda,2019-12-12,168.0,91.0,4.0,6.0,5.0,5.0
jharsuguda,2020-01-01,111.0,41.0,19.0,5.0,1.0,10.0
jharsuguda,2020-01-02,133.0,63.0,34.0,8.0,1.0,7.0
jharsuguda,2020-01-03,169.0,88.0,,,,
jharsuguda,2020-01-04,142.0,121.0,42.0,,1.0,2.0
jharsuguda,2020-01-05,142.0,,,,,
jharsuguda,2020-01-06,164.0,70.0,38.0,,2.0,5.0
jharsuguda,2020-01-07,49.0,42.0,20.0,1.0,2.0,1.0
jharsuguda,2020-01-08,108.0,33.0,8.0,3.0,5.0,1.0
jharsuguda,2020-01-09,143.0,51.0,9.0,2.0,5.0,3.0
jharsuguda,2020-01-10,102.0,,,,,
jharsuguda,2020-01-11,145.0,83.0,27.0,5.0,5.0,8.0
jharsuguda,2020-01-12,153.0,104.0,29.0,3.0,12.0,11.0
jharsuguda,2020-02-01,86.0,44.0,16.0,6.0,1.0,11.0
jharsuguda,2020-02-02,125.0,145.0,22.0,12.0,2.0,7.0
jharsuguda,2020-02-03,171.0,60.0,12.0,6.0,3.0,
jharsuguda,2020-02-04,151.0,127.0,42.0,,1.0,2.0
jharsuguda,2020-02-05,,87.0,59.0,,,3.0
jharsuguda,2020-02-06,139.0,59.0,28.0,,2.0,5.0
jharsuguda,2020-02-07,53.0,,,,,
jharsuguda,2020-02-08,78.0,51.0,10.0,2.0,5.0,1.0
jharsuguda,2020-02-09,123.0,71.0,12.0,2.0,8.0,5.0
jharsuguda,2020-02-11,153.0,105.0,32.0,6.0,5.0,9.0
jharsuguda,2020-02-12,170.0,105.0,32.0,3.0,11.0,10.0
jharsuguda,2020-03-01,104.0,75.0,18.0,5.0,1.0,11.0
jharsuguda,2020-03-02,150.0,91.0,12.0,10.0,3.0,7.0
jharsuguda,2020-03-03,155.0,43.0,22.0,7.0,2.0,
jharsuguda,2020-03-04,147.0,101.0,52.0,,2.0,2.0
jharsuguda,2020-03-05,159.0,61.0,33.0,,,3.0
jharsuguda,2020-03-06,163.0,61.0,20.0,,2.0,
jharsuguda,2020-03-08,125.0,48.0,19.0,3.0,4.0,1.0
jharsuguda,2020-03-09,140.0,75.0,6.0,1.0,6.0,23.0
jharsuguda,2020-03-10,,,6.0,2.0,3.0,1.0
jharsuguda,2020-03-11,176.0,95.0,30.0,6.0,6.0,8.0
jharsuguda,2020-03-12,168.0,113.0,29.0,3.0,8.0,11.0
jharsuguda,2020-04-01,136.0,84.0,23.0,4.0,1.0,12.0
jharsuguda,2020-04-02,156.0,75.0,16.0,7.0,4.0,7.0
jharsuguda,2020-04-03,,29.0,20.0,8.0,2.0,
jharsuguda,2020-04-04,146.0,77.0,59.0,,1.0,2.0
jharsuguda,2020-04-05,87.0,69.0,51.0,,,3.0
jharsuguda,2020-04-06,109.0,323.0,11.0,,2.0,9.0
jharsuguda,2020-04-08,106.0,3.0,10.0,3.0,3.0,
jharsuguda,2020-04-09,131.0,48.0,6.0,2.0,4.0,27.0
jharsuguda,2020-04-10,,64.0,8.0,4.0,4.0,2.0
jharsuguda,2020-04-11,164.0,102.0,32.0,6.0,6.0,9.0
jharsuguda,2020-04-12,169.0,103.0,32.0,3.0,15.0,11.0
jharsuguda,2020-05-01,144.0,75.0,24.0,6.0,1.0,12.0
jharsuguda,2020-05-02,153.0,93.0,16.0,5.0,3.0,4.0
jharsuguda,2020-05-03,,30.0,18.0,6.0,1.0,
jharsuguda,2020-05-04,144.0,169.0,34.0,,2.0,2.0
jharsuguda,2020-05-05,120.0,61.0,49.0,,,3.0
jharsuguda,2020-05-06,70.0,99.0,17.0,,2.0,5.0
jharsuguda,2020-05-08,7.0,39.0,7.0,3.0,4.0,1.0
jharsuguda,2020-05-09,96.0,,,,,
jharsuguda,2020-05-10,133.0,49.0,7.0,4.0,3.0,3.0
jharsuguda,2020-05-11,163.0,85.0,23.0,5.0,7.0,8.0
jharsuguda,2020-05-12,166.0,112.0,33.0,2.0,7.0,12.0
jharsuguda,2020-06-01,121.0,97.0,20.0,9.0,2.0,13.0
jharsuguda,2020-06-02,154.0,74.0,14.0,5.0,1.0,
jharsuguda,2020-06-03,,30.0,17.0,5.0,1.0,
jharsuguda,2020-06-04,164.0,105.0,43.0,,2.0,2.0
jharsuguda,2020-06-05,112.0,48.0,41.0,,,3.0
jharsuguda,2020-06-06,185.0,,,,,
jharsuguda,2020-06-08,85.0,39.0,9.0,2.0,4.0,1.0
jharsuguda,2020-06-09,,61.0,11.0,1.0,5.0,13.0
jharsuguda,2020-06-10,85.0,44.0,6.0,4.0,3.0,6.0
jharsuguda,2020-06-11,156.0,80.0,12.0,6.0,5.0,9.0
jharsuguda,2020-06-12,171.0,139.0,35.0,4.0,19.0,11.0
jharsuguda,2020-07-01,151.0,79.0,22.0,7.0,1.0,13.0
jharsuguda,2020-07-02,135.0,70.0,12.0,7.0,2.0,
jharsuguda,2020-07-03,,36.0,19.0,3.0,,
jharsuguda,2020-07-04,154.0,68.0,40.0,,2.0,2.0
jharsuguda,2020-07-05,78.0,59.0,36.0,,,3.0
jharsuguda,2020-07-08,70.0,32.0,8.0,2.0,3.0,
jharsuguda,2020-07-09,130.0,92.0,14.0,,6.0,3.0
jharsuguda,2020-07-10,85.0,65.0,8.0,4.0,8.0,6.0
jharsuguda,2020-07-11,148.0,112.0,32.0,6.0,6.0,10.0
jharsuguda,2020-07-12,192.0,109.0,30.0,2.0,11.0,11.0
jharsuguda,2020-08-01,151.0,80.0,16.0,4.0,1.0,13.0
jharsuguda,2020-08-02,123.0,87.0,31.0,7.0,1.0,
jharsuguda,2020-08-03,,45.0,26.0,7.0,2.0,1.0
jharsuguda,2020-08-04,125.0,99.0,20.0,,2.0,3.0
jharsuguda,2020-08-05,96.0,80.0,44.0,,,3.0
jharsuguda,2020-08-08,69.0,51.0,14.0,2.0,5.0,
jharsuguda,2020-08-09,182.0,61.0,11.0,,5.0,10.0
jharsuguda,2020-08-10,125.0,75.0,6.0,5.0,13.0,6.0
jharsuguda,2020-08-11,188.0,87.0,29.0,6.0,5.0,8.0
jharsuguda,2020-08-12,172.0,90.0,28.0,3.0,10.0,10.0
jharsuguda,2020-09-01,162.0,61.0,12.0,6.0,1.0,13.0
jharsuguda,2020-09-02,142.0,97.0,34.0,8.0,2.0,
jharsuguda,2020-09-03,162.0,31.0,22.0,7.0,1.0,1.0
jharsuguda,2020-09-04,154.0,94.0,54.0,,2.0,2.0
