city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-25 16:23:08.759217,2,322.12,0.08,7.16,9.46,1.44,13.32,19.08,5.08,27.18,31.02,88,1004,2.25,273,Rain,moderate rain
angul,2026-08-25 16:23:09.091497,1,263.85,0.05,5.62,16.09,1.01,9.91,13.89,3.47,27.25,31.22,88,1004,1.8,254,Rain,light rain
jharsuguda,2026-08-25 16:23:09.443446,1,256.65,0.0,7.36,22.9,1.34,9.21,10.59,1.41,25.61,26.65,93,1004,2.95,210,Rain,moderate rain
rourkela,2026-08-25 16:23:09.780980,2,243.56,0.0,5.31,29.66,2.06,10.06,11.1,0.95,26.79,30.23,91,1004,2.13,200,Rain,light rain
sundargarh,2026-08-25 16:23:10.117564,2,282.0,0.0,8.3,21.28,1.54,10.87,12.31,1.52,26.23,26.23,91,1004,3.81,224,Rain,moderate rain
kendujhar,2026-08-25 16:23:10.449469,2,256.82,0.02,4.49,19.48,0.97,10.08,12.51,1.31,24.27,25.21,94,1005,3.15,235,Rain,light rain
baripada,2026-08-25 16:23:10.773883,3,442.58,0.01,11.6,26.63,5.38,28.4,33.67,2.28,28.4,34.44,87,1003,2.62,200,Rain,light rain
