city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-04 21:46:08.485014,1,305.93,0.06,5.55,7.03,0.47,7.38,8.02,3.06,25.69,26.8,95,992,2.23,35,Clouds,overcast clouds
angul,2026-07-04 21:46:08.754468,1,250.01,0.04,4.6,12.45,0.4,5.75,6.2,2.16,25.33,26.4,95,991,2.82,305,Clouds,overcast clouds
jharsuguda,2026-07-04 21:46:09.044119,3,449.32,0.0,15.95,26.76,5.3,30.42,30.72,3.28,27.33,30.72,82,994,4.39,27,Clouds,overcast clouds
rourkela,2026-07-04 21:46:09.328937,2,369.48,0.0,13.23,15.38,5.46,19.35,19.73,1.68,27.04,30.33,85,994,2.61,39,Clouds,overcast clouds
sundargarh,2026-07-04 21:46:09.616887,3,470.41,0.0,18.52,30.09,6.95,36.78,37.13,3.04,27.76,31.23,78,994,4.03,30,Clouds,overcast clouds
kendujhar,2026-07-04 21:46:09.887898,2,466.14,0.03,7.6,9.22,2.27,19.28,19.64,1.25,23.85,24.8,96,994,4.23,35,Clouds,overcast clouds
baripada,2026-07-04 21:46:10.157078,2,433.81,0.03,12.77,12.68,4.7,18.45,19.01,1.87,26.87,30.86,95,994,4.34,139,Clouds,overcast clouds
