city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-09-05 11:00:29.979569,1,122.8,0.16,1.19,50.45,0.58,7.32,8.34,1.98,32.32,38.16,61,1005,3.46,278,Clouds,broken clouds
angul,2026-09-05 11:00:30.188034,1,114.93,0.14,0.94,46.56,0.43,6.3,7.13,1.59,31.63,38.02,66,1005,3.34,269,Rain,light rain
jharsuguda,2026-09-05 11:00:30.410615,2,115.22,0.11,0.93,66.93,0.98,12.41,12.96,0.87,31.03,36.51,66,1006,4.63,290,Clouds,broken clouds
rourkela,2026-09-05 11:00:30.629555,2,118.25,0.17,1.37,55.82,2.42,12.03,13.07,1.22,30.77,36.7,69,1005,3.7,247,Clouds,overcast clouds
sundargarh,2026-09-05 11:00:30.851610,2,118.78,0.12,0.97,68.96,1.01,13.99,14.6,0.97,30.94,36.85,68,1006,4.25,232,Clouds,broken clouds
kendujhar,2026-09-05 11:00:31.068590,1,126.62,0.19,1.87,37.65,1.22,8.12,9.34,1.79,28.35,30.92,67,1006,2.72,233,Clouds,broken clouds
baripada,2026-09-05 11:00:31.305033,2,160.41,0.25,4.66,67.11,7.15,11.08,12.55,1.36,33.7,39.45,55,1004,0.51,90,Rain,light rain
