city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-10 20:30:18.446424,1,260.23,0.06,3.82,8.03,0.56,8.88,12.1,4.31,25.67,26.69,92,1001,1.71,308,Clouds,overcast clouds
angul,2026-08-10 20:30:18.805706,1,216.47,0.04,2.92,15.05,0.42,6.85,9.11,2.97,25.6,26.62,92,1001,1.36,286,Clouds,overcast clouds
jharsuguda,2026-08-10 20:30:19.172220,2,222.85,0.0,4.39,25.05,0.93,10.55,12.67,2.05,24.48,25.52,97,1001,2.91,233,Rain,heavy intensity rain
rourkela,2026-08-10 20:30:19.523323,2,203.17,0.0,3.27,22.97,1.13,12.21,13.81,1.49,25.31,26.32,93,1001,1.44,208,Clouds,overcast clouds
sundargarh,2026-08-10 20:30:19.878005,2,249.42,0.0,5.14,20.55,0.99,12.05,14.32,2.37,24.69,25.72,96,1001,3.13,234,Rain,heavy intensity rain
kendujhar,2026-08-10 20:30:20.268366,2,214.83,0.02,3.15,14.5,0.54,10.81,12.21,1.17,22.31,23.1,96,1002,1.48,271,Clouds,overcast clouds
baripada,2026-08-10 20:30:20.666393,3,361.91,0.04,11.63,10.68,7.61,27.43,29.58,1.69,27.32,30.81,83,1000,1.86,302,Clouds,scattered clouds
