city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-06-24 13:10:44.386541,2,312.7,0.03,7.87,39.4,1.95,21.69,24.73,20.49,35.79,38.07,38,999,4.19,155,Clouds,overcast clouds
angul,2026-06-24 13:10:44.863268,2,259.43,0.02,5.97,38.52,1.37,16.12,18.37,15.47,33.95,36.71,45,1000,5.06,161,Clouds,broken clouds
jharsuguda,2026-06-24 13:10:45.195976,1,207.64,0.06,4.95,54.65,1.4,9.85,11.45,16.15,35.2,36.99,38,1000,1.02,347,Clouds,broken clouds
rourkela,2026-06-24 13:10:45.528158,2,224.25,0.03,4.8,60.26,3.16,11.9,13.46,14.62,35.64,36.9,35,999,2.22,250,Clouds,scattered clouds
sundargarh,2026-06-24 13:10:45.869966,2,233.94,0.07,5.9,52.62,1.49,11.25,13.15,20.28,33.76,35.53,42,1000,1.82,19,Clouds,overcast clouds
kendujhar,2026-06-24 13:10:46.192469,1,213.69,0.02,4.18,49.83,1.29,9.51,10.91,9.86,31.4,32.88,48,1001,1.27,203,Clouds,overcast clouds
baripada,2026-06-24 13:10:46.659249,3,374.54,0.02,11.94,64.36,9.4,33.04,37.49,25.27,32.76,35.81,50,1000,1.81,199,Clouds,overcast clouds
