city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-23 05:19:09.245818,1,187.91,0.37,2.45,20.9,0.47,6.66,7.64,2.14,30.48,36.51,71,1004,2.36,306,Clouds,overcast clouds
angul,2026-08-23 05:19:09.465925,1,169.96,0.31,2.16,18.62,0.37,5.54,6.33,1.57,29.77,35.43,74,1004,2.21,314,Clouds,overcast clouds
jharsuguda,2026-08-23 05:19:09.678874,2,422.62,2.71,13.06,6.88,3.55,23.97,25.02,0.2,30.03,37.03,94,1005,1.03,290,Clouds,overcast clouds
rourkela,2026-08-23 05:19:09.902465,2,336.03,2.63,9.33,5.43,5.64,18.25,19.74,0.77,30.08,36.79,76,1004,1.07,302,Rain,light rain
sundargarh,2026-08-23 05:19:10.114892,3,462.05,3.75,14.92,5.65,4.36,29.7,31.0,0.0,29.94,36.94,89,1005,1.17,214,Clouds,overcast clouds
kendujhar,2026-08-23 05:19:10.331091,1,248.4,1.74,6.36,10.08,5.22,8.98,10.12,0.61,28.21,31.52,73,1005,1.68,76,Rain,moderate rain
baripada,2026-08-23 05:19:10.554673,2,352.45,1.07,6.57,28.61,4.37,23.4,25.47,1.38,32.29,39.29,65,1003,2.03,73,Rain,light rain
