city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-09 14:27:19.081033,1,221.88,0.0,5.85,32.03,1.51,9.37,11.39,3.99,27.23,31.04,87,1003,2.69,149,Clouds,overcast clouds
angul,2026-07-09 14:27:19.288106,1,202.9,0.0,4.64,32.91,1.12,8.53,10.09,2.99,27.14,30.8,87,1003,2.3,166,Clouds,overcast clouds
jharsuguda,2026-07-09 14:27:19.505529,1,199.03,0.0,4.82,35.0,1.03,5.71,6.7,6.12,28.46,32.57,76,1002,2.32,282,Clouds,overcast clouds
rourkela,2026-07-09 14:27:19.700736,1,211.08,0.0,5.07,32.38,1.92,5.56,6.41,2.27,27.23,30.81,85,1002,2.47,214,Clouds,overcast clouds
sundargarh,2026-07-09 14:27:19.887200,1,205.62,0.0,5.5,32.52,1.15,5.37,6.37,6.44,27.12,30.75,87,1002,2.46,284,Rain,light rain
kendujhar,2026-07-09 14:27:20.090899,1,226.15,0.02,5.27,24.85,1.44,8.81,10.84,1.87,24.23,25.14,93,1004,3.01,216,Clouds,overcast clouds
baripada,2026-07-09 14:27:20.285805,3,246.93,0.0,9.29,46.64,6.39,28.47,35.07,2.95,28.09,32.98,84,1002,3.71,201,Clouds,overcast clouds
