city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-05-27 21:44:58.024643,5,429.17,0,5.96,51.7,1.25,75.16,97.94,8.3,26.85,29.94,86,1004,3.94,128,Clouds,broken clouds
angul,2026-05-27 21:44:58.397787,4,355.38,0,5.03,46.45,1.12,59.68,79.15,6.94,26.68,29.27,83,1004,2.76,143,Clouds,broken clouds
jharsuguda,2026-05-27 21:44:58.801552,3,360.23,0,7.78,55.63,3.2,36.98,53.96,15.55,26.88,27.86,59,1003,2.41,55,Clouds,scattered clouds
rourkela,2026-05-27 21:44:59.211384,3,288.43,0,4.39,73.29,6.88,48.5,60.04,5.26,25.94,26.05,56,1004,1.45,67,Clouds,broken clouds
sundargarh,2026-05-27 21:44:59.547462,3,399.06,0,8.87,55.13,3.41,40.42,58.88,17.56,27.45,28.25,55,1004,2.53,40,Clouds,scattered clouds
kendujhar,2026-05-27 21:44:59.934328,4,369.76,0,4.05,70.8,2.63,67.85,86.7,2.91,22.69,23.0,76,1006,2.24,165,Clouds,overcast clouds
baripada,2026-05-27 21:45:00.273453,4,411.0,0,6.57,74.68,4.09,72.19,91.59,3.95,26.37,26.37,64,1004,3.93,186,Clouds,overcast clouds
