city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-04 13:43:01.441459,3,413.37,0.01,12.88,22.26,2.6,26.67,32.61,12.14,29.99,36.54,76,1002,1.79,221,Rain,light rain
angul,2026-08-04 13:43:01.717574,2,324.36,0.01,9.27,18.87,1.79,18.73,23.05,8.23,29.68,35.93,77,1003,1.82,218,Rain,light rain
jharsuguda,2026-08-04 13:43:01.982476,1,259.74,0.01,6.71,25.65,1.45,9.32,11.74,2.92,29.92,35.57,73,1002,2.38,205,Rain,moderate rain
rourkela,2026-08-04 13:43:02.237979,2,251.41,0.0,7.28,23.95,3.74,11.84,14.47,3.84,30.09,36.28,74,1002,1.65,201,Rain,light rain
sundargarh,2026-08-04 13:43:02.492772,2,297.66,0.01,7.85,20.4,1.49,10.58,13.51,3.5,30.26,35.68,70,1002,1.96,239,Rain,light rain
kendujhar,2026-08-04 13:43:02.753168,1,251.18,0.03,6.87,13.61,2.44,8.08,10.72,2.99,26.32,26.32,80,1004,1.19,208,Clouds,overcast clouds
baripada,2026-08-04 13:43:02.992807,3,367.31,0.01,14.58,27.7,8.07,32.03,36.21,2.52,29.41,36.41,84,1002,2.22,175,Clouds,overcast clouds
