city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-13 17:48:09.151805,2,287.19,0.03,5.77,12.72,0.99,10.15,14.76,3.41,26.49,26.49,88,1003,1.55,289,Clouds,overcast clouds
angul,2026-08-13 17:48:09.361482,1,238.83,0.02,4.51,19.43,0.83,9.15,12.52,2.44,26.09,26.09,89,1003,1.53,269,Clouds,overcast clouds
jharsuguda,2026-08-13 17:48:09.559315,2,249.41,0.0,8.14,25.48,4.57,12.35,13.77,1.58,25.33,26.37,94,1003,2.61,220,Rain,light rain
rourkela,2026-08-13 17:48:09.656129,2,267.45,0.01,11.74,16.7,5.63,13.87,14.85,0.73,25.24,26.3,95,1002,1.88,247,Rain,moderate rain
sundargarh,2026-08-13 17:48:09.844941,2,259.01,0.0,9.32,25.5,4.98,12.75,13.86,1.55,25.27,26.31,94,1003,2.37,207,Clouds,overcast clouds
kendujhar,2026-08-13 17:48:10.032186,1,220.19,0.0,5.57,24.92,2.15,9.79,10.91,0.72,22.7,23.53,96,1003,1.5,277,Clouds,overcast clouds
baripada,2026-08-13 17:48:10.220027,2,300.82,0.02,15.12,15.2,9.65,20.38,22.79,1.25,26.94,30.46,89,1001,1.22,308,Rain,heavy intensity rain
