city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-09-22 05:34:29.954279,2,365.47,1.24,8.64,37.5,4.19,16.31,16.74,0.31,27.26,30.55,82,1006,3.62,49,Clouds,overcast clouds
angul,2026-09-22 05:34:30.159417,2,347.96,1.02,6.87,33.61,2.92,15.86,16.23,0.23,26.4,26.4,87,1006,2.58,38,Rain,light rain
jharsuguda,2026-09-22 05:34:30.359034,3,376.01,1.09,10.91,26.66,8.17,30.59,32.58,0.0,32.03,39.03,79,1007,5.14,110,Clouds,broken clouds
rourkela,2026-09-22 05:34:30.557376,3,446.43,1.35,15.02,33.56,10.07,33.53,35.34,0.0,31.03,37.08,68,1007,5.86,60,Rain,light rain
sundargarh,2026-09-22 05:34:30.748857,3,369.63,1.09,11.22,29.29,9.84,30.7,33.06,0.0,31.94,38.94,71,1007,5.79,65,Clouds,broken clouds
kendujhar,2026-09-22 05:34:30.948054,2,433.73,1.71,15.0,23.59,10.32,24.31,25.38,0.1,27.28,29.53,72,1007,5.69,69,Rain,light rain
baripada,2026-09-22 05:34:31.150750,2,335.94,0.5,6.45,30.05,2.04,10.49,11.26,0.65,30.96,37.79,71,1007,5.03,76,Rain,moderate rain
