city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-23 17:11:11.794700,2,387.82,0.04,12.87,10.58,2.55,15.3,18.96,16.95,25.85,26.95,94,1002,1.55,181,Clouds,overcast clouds
angul,2026-08-23 17:11:12.179280,2,317.85,0.04,9.23,9.35,1.74,11.83,14.48,11.31,25.73,26.79,93,1003,1.48,211,Rain,light rain
jharsuguda,2026-08-23 17:11:12.545127,2,499.9,0.4,14.99,3.45,1.59,20.41,21.85,1.76,25.08,26.18,97,1003,2.3,223,Rain,heavy intensity rain
rourkela,2026-08-23 17:11:12.924866,2,416.99,0.03,13.69,9.4,6.49,22.42,23.42,0.86,27.46,31.42,85,1002,2.19,75,Rain,moderate rain
sundargarh,2026-08-23 17:11:13.261998,2,552.63,0.59,16.73,1.43,1.62,24.02,25.62,1.93,25.51,26.6,95,1003,2.72,196,Rain,heavy intensity rain
kendujhar,2026-08-23 17:11:13.596202,2,340.32,0.02,6.13,10.62,2.73,17.3,18.21,0.81,23.99,24.85,92,1003,0.61,208,Rain,heavy intensity rain
baripada,2026-08-23 17:11:13.930306,3,449.14,0.15,13.81,7.29,6.92,31.09,34.12,2.15,27.64,32.48,89,1002,1.68,169,Rain,light rain
