city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-03 07:54:32.921199,1,246.73,0.28,4.3,17.57,0.6,7.23,8.43,2.73,29.48,34.91,75,998,4.36,281,Clouds,overcast clouds
angul,2026-07-03 07:54:33.252332,1,214.4,0.23,3.81,18.12,0.47,7.05,7.92,1.97,29.55,34.86,74,999,4.01,274,Clouds,overcast clouds
jharsuguda,2026-07-03 07:54:33.587863,2,372.59,0.48,13.64,16.06,2.6,16.63,17.43,5.11,31.36,36.45,63,998,3.26,200,Clouds,overcast clouds
rourkela,2026-07-03 07:54:33.921560,2,455.47,3.08,20.43,12.72,8.17,23.56,24.71,2.28,33.76,38.88,53,998,4.29,105,Clouds,overcast clouds
sundargarh,2026-07-03 07:54:34.254546,2,416.77,0.49,14.81,15.67,3.19,19.76,20.75,6.17,32.21,36.95,58,998,3.81,166,Clouds,overcast clouds
kendujhar,2026-07-03 07:54:34.593982,2,353.38,3.12,11.78,13.21,6.1,12.04,13.08,0.97,28.65,31.81,69,999,2.34,153,Clouds,overcast clouds
baripada,2026-07-03 07:54:34.933148,3,487.73,2.06,19.02,19.4,7.06,25.81,27.87,3.37,30.79,36.75,69,998,2.63,155,Clouds,overcast clouds
