city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-17 18:21:06.324871,1,200.47,0.01,4.0,18.83,0.7,5.94,8.63,2.67,25.01,25.99,93,1003,4.27,273,Rain,moderate rain
angul,2026-08-17 18:21:06.655147,1,173.61,0.0,3.16,23.99,0.51,5.68,7.52,1.82,25.04,26.03,93,1004,3.22,265,Rain,moderate rain
jharsuguda,2026-08-17 18:21:06.981897,2,219.74,0.0,10.85,16.27,1.77,11.96,12.49,0.76,24.17,25.2,98,1004,5.25,251,Rain,heavy intensity rain
rourkela,2026-08-17 18:21:07.305340,2,242.06,0.0,11.3,16.05,3.82,13.79,14.41,0.56,25.24,26.27,94,1003,5.99,252,Clouds,overcast clouds
sundargarh,2026-08-17 18:21:07.612511,2,244.39,0.01,14.27,11.82,2.24,14.22,14.72,0.75,24.73,25.79,97,1004,4.73,251,Rain,moderate rain
kendujhar,2026-08-17 18:21:07.942221,2,195.07,0.0,5.82,24.19,1.33,10.61,11.15,0.46,22.78,23.62,96,1003,4.01,248,Rain,light rain
baripada,2026-08-17 18:21:08.284433,2,263.08,0.01,14.09,15.93,10.05,13.14,15.29,1.04,25.38,26.51,97,1001,3.82,212,Rain,heavy intensity rain
