city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-27 21:00:44.502232,1,257.41,0.01,4.32,18.42,0.5,6.07,8.01,5.4,26.26,26.26,87,996,5.08,273,Rain,light rain
angul,2026-07-27 21:00:45.195626,1,220.09,0.01,3.4,23.08,0.38,5.13,6.5,3.89,25.8,26.79,90,996,4.25,260,Rain,light rain
jharsuguda,2026-07-27 21:00:45.650027,2,253.77,0.0,7.65,19.81,1.94,11.5,12.18,5.67,26.48,26.48,84,997,2.15,320,Rain,light rain
rourkela,2026-07-27 21:00:46.230206,2,308.64,0.0,9.01,20.02,5.04,15.63,15.99,1.69,25.91,26.83,87,997,1.75,3,Rain,moderate rain
sundargarh,2026-07-27 21:00:46.475911,2,275.82,0.0,9.48,18.69,2.56,13.48,14.06,5.39,26.59,26.59,82,997,2.8,336,Clouds,overcast clouds
kendujhar,2026-07-27 21:00:46.982059,1,233.33,0.0,4.3,30.36,1.37,8.26,8.44,0.58,23.45,24.2,90,997,4.01,333,Rain,moderate rain
baripada,2026-07-27 21:00:47.380342,2,328.56,0.01,13.76,18.88,8.29,19.43,20.02,1.24,25.93,26.98,92,994,7.4,338,Rain,moderate rain
