city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-10 03:05:30.509218,1,239.74,0.77,3.94,12.76,0.8,5.82,8.18,3.09,27.89,32.28,83,1004,2.84,305,Clouds,overcast clouds
angul,2026-08-10 03:05:30.772694,1,198.58,0.55,3.08,16.17,0.57,4.42,6.1,2.13,28.11,32.54,81,1004,2.74,301,Clouds,overcast clouds
jharsuguda,2026-08-10 03:05:31.013704,1,153.98,0.61,3.07,25.03,0.94,5.57,6.46,1.21,27.39,30.74,81,1004,2.64,225,Clouds,overcast clouds
rourkela,2026-08-10 03:05:31.263147,1,180.38,0.58,3.94,21.6,2.45,7.5,8.6,1.0,28.6,33.27,78,1003,2.26,209,Clouds,broken clouds
sundargarh,2026-08-10 03:05:31.511526,1,161.42,0.78,3.12,24.93,0.94,6.14,7.05,1.36,27.52,31.18,82,1004,3.02,219,Rain,light rain
kendujhar,2026-08-10 03:05:31.757068,1,207.86,1.02,3.16,17.79,1.56,6.42,8.12,0.99,26.26,26.26,81,1004,1.68,250,Rain,light rain
baripada,2026-08-10 03:05:31.994442,3,378.26,3.5,8.78,14.45,8.34,27.27,30.9,1.7,29.34,35.23,78,1003,1.55,42,Rain,light rain
