city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-23 07:24:07.628020,1,175.65,0.16,1.77,33.37,0.35,7.6,8.18,1.24,28.79,32.99,74,1002,2.46,308,Clouds,overcast clouds
angul,2026-08-23 07:24:07.818179,1,166.57,0.15,1.79,26.9,0.3,6.36,6.88,1.03,28.22,32.33,78,1002,2.26,307,Clouds,overcast clouds
jharsuguda,2026-08-23 07:24:08.008209,2,424.94,4.35,13.76,9.74,2.87,23.74,24.75,0.22,30.03,37.03,94,1003,0.51,350,Clouds,overcast clouds
rourkela,2026-08-23 07:24:08.099576,2,340.46,3.76,10.24,9.34,7.47,21.0,22.6,0.99,31.82,38.82,68,1002,2.1,70,Rain,light rain
sundargarh,2026-08-23 07:24:08.283214,3,445.14,5.68,15.32,9.17,3.25,28.35,29.56,0.0,29.94,36.94,86,1003,0.9,42,Clouds,overcast clouds
kendujhar,2026-08-23 07:24:08.473796,2,251.73,2.4,6.89,17.81,5.46,10.49,11.5,0.28,27.72,30.75,75,1002,4.05,31,Rain,moderate rain
baripada,2026-08-23 07:24:08.660372,2,330.71,0.6,7.0,37.22,3.83,21.81,23.61,1.38,31.8,38.8,70,1001,2.81,23,Rain,moderate rain
