city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-17 22:37:38.808314,2,313.73,0.05,5.25,9.87,0.54,11.76,13.86,5.78,25.85,26.76,87,1002,2.11,295,Clouds,overcast clouds
angul,2026-07-17 22:37:39.140172,1,262.6,0.03,4.02,19.94,0.41,9.29,10.73,4.04,25.24,26.14,89,1002,1.69,277,Clouds,overcast clouds
jharsuguda,2026-07-17 22:37:39.482122,2,261.21,0.0,5.49,39.25,1.44,15.56,15.8,3.78,24.22,25.18,95,1002,2.89,224,Clouds,overcast clouds
rourkela,2026-07-17 22:37:39.817321,2,309.08,0.0,6.24,32.22,3.15,16.72,16.95,1.57,24.85,25.85,94,1002,1.64,214,Clouds,broken clouds
sundargarh,2026-07-17 22:37:40.158455,2,278.0,0.0,6.16,40.31,1.62,16.35,16.56,3.44,24.93,25.91,93,1002,2.64,216,Clouds,overcast clouds
kendujhar,2026-07-17 22:37:40.508156,2,279.37,0.0,4.55,26.6,0.94,10.79,11.04,0.92,23.29,24.16,95,1002,2.57,235,Clouds,overcast clouds
baripada,2026-07-17 22:37:40.846059,2,317.27,0.0,9.06,23.06,5.14,14.46,15.27,2.09,27.42,31.83,89,1001,1.08,172,Clouds,overcast clouds
