city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-19 14:19:07.978229,2,412.9,0.0,15.71,24.6,2.87,17.8,22.44,23.46,29.98,35.23,71,1002,1.42,196,Clouds,overcast clouds
angul,2026-07-19 14:19:08.178960,2,322.58,0.0,11.04,22.86,1.94,13.82,17.13,15.72,29.08,34.1,76,1002,1.58,203,Clouds,overcast clouds
jharsuguda,2026-07-19 14:19:08.371165,2,236.52,0.0,6.25,30.87,1.18,10.76,12.05,10.1,27.83,31.97,82,1002,2.21,187,Clouds,overcast clouds
rourkela,2026-07-19 14:19:08.565986,1,260.07,0.01,6.24,21.89,2.06,9.54,11.19,4.85,28.69,33.7,79,1002,2.32,189,Rain,light rain
sundargarh,2026-07-19 14:19:08.766108,2,257.95,0.0,7.19,29.01,1.21,11.06,12.42,10.43,28.83,34.07,79,1002,2.7,191,Clouds,overcast clouds
kendujhar,2026-07-19 14:19:08.962566,2,287.44,0.03,8.12,14.16,2.44,10.3,13.05,5.95,25.82,26.6,82,1004,2.18,214,Clouds,overcast clouds
baripada,2026-07-19 14:19:09.156422,3,424.13,0.01,12.05,33.19,4.37,38.04,43.96,7.74,29.01,35.44,83,1003,4.78,161,Clouds,overcast clouds
