city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-04 12:00:55.079668,2,392.05,0.3,8.6,25.9,0.72,16.25,17.59,4.53,27.17,30.88,87,993,2.64,298,Rain,light rain
angul,2026-07-04 12:00:55.408991,2,338.57,0.24,7.11,22.81,0.56,13.69,14.71,3.34,26.55,26.55,90,994,2.75,287,Rain,moderate rain
jharsuguda,2026-07-04 12:00:55.753103,2,404.35,0.1,12.34,29.84,3.28,17.86,18.87,6.63,28.2,32.28,78,994,2.19,110,Clouds,overcast clouds
rourkela,2026-07-04 12:00:56.087586,2,478.69,0.28,10.84,17.4,4.36,21.14,22.46,3.34,28.93,34.34,79,994,5.1,66,Rain,moderate rain
sundargarh,2026-07-04 12:00:56.428669,2,392.44,0.11,12.5,33.99,4.24,18.19,19.28,6.91,30.78,35.9,66,994,3.93,74,Rain,heavy intensity rain
kendujhar,2026-07-04 12:00:56.774271,3,496.86,1.07,14.72,8.34,7.28,25.66,27.4,1.67,25.54,26.45,88,994,2.42,44,Clouds,overcast clouds
baripada,2026-07-04 12:00:57.109638,2,391.04,0.14,12.24,32.49,5.04,22.67,24.84,3.83,29.35,36.35,83,993,2.23,66,Clouds,overcast clouds
