city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-14 12:37:43.473061,1,183.05,0.01,3.78,33.22,0.54,7.8,8.98,1.91,27.12,30.53,85,1000,4.05,271,Clouds,overcast clouds
angul,2026-08-14 12:37:43.753927,1,169.02,0.01,3.13,33.36,0.41,7.52,8.37,1.34,27.19,30.49,83,1001,3.75,267,Clouds,overcast clouds
jharsuguda,2026-08-14 12:37:44.029485,2,248.36,0.04,10.13,27.87,2.05,12.05,12.56,0.83,27.03,31.26,94,1000,5.14,280,Clouds,overcast clouds
rourkela,2026-08-14 12:37:44.289802,2,256.31,0.02,9.03,28.06,3.99,14.87,15.51,0.59,26.69,29.87,90,1000,2.6,228,Rain,light rain
sundargarh,2026-08-14 12:37:44.564530,2,281.54,0.06,12.85,23.53,2.36,13.45,13.93,0.87,26.94,30.67,91,1000,6.55,246,Rain,light rain
kendujhar,2026-08-14 12:37:44.833178,1,205.92,0.01,5.37,33.36,1.69,8.68,9.28,0.61,23.87,24.82,96,1001,2.01,239,Clouds,overcast clouds
baripada,2026-08-14 12:37:45.099024,2,239.66,0.02,13.44,30.89,9.74,12.33,13.9,1.17,28.62,34.91,86,999,0.78,332,Rain,moderate rain
