city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-09-08 11:51:52.628695,2,258.71,0.02,9.6,37.33,2.88,11.79,15.82,11.86,29.59,35.44,76,1004,3.41,266,Rain,light rain
angul,2026-09-08 11:51:52.892825,1,215.15,0.01,6.75,40.13,2.19,9.76,12.65,7.91,29.37,35.08,77,1005,2.85,265,Rain,light rain
jharsuguda,2026-09-08 11:51:53.153862,2,214.7,0.01,2.17,76.06,1.31,8.87,9.59,0.94,31.03,38.03,79,1005,3.09,280,Rain,light rain
rourkela,2026-09-08 11:51:53.330999,2,238.75,0.02,4.67,45.2,4.42,17.25,18.92,1.54,28.9,33.85,77,1004,2.52,254,Rain,light rain
sundargarh,2026-09-08 11:51:53.600870,2,230.9,0.01,1.75,84.79,0.76,6.24,6.72,0.73,30.94,37.94,75,1005,2.03,303,Rain,light rain
kendujhar,2026-09-08 11:51:53.865622,2,198.34,0.06,4.65,36.83,2.81,15.14,16.93,1.98,26.42,26.42,83,1005,1.89,257,Rain,light rain
baripada,2026-09-08 11:51:54.120525,2,260.74,0.28,17.42,35.99,15.53,21.78,24.46,1.61,30.3,37.13,75,1004,1.14,268,Rain,heavy intensity rain
