city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-31 21:55:56.176720,2,282.68,0.04,6.25,11.14,1.41,22.74,28.87,4.79,25.52,26.63,96,1000,1.42,56,Rain,moderate rain
angul,2026-07-31 21:55:56.371961,2,242.58,0.03,6.35,15.8,2.84,20.15,25.6,3.45,25.45,26.53,95,1000,0.77,332,Rain,moderate rain
jharsuguda,2026-07-31 21:55:56.564240,2,242.62,0.0,8.02,17.28,1.89,11.38,12.63,7.72,26.53,26.53,85,1000,2.5,199,Rain,light rain
rourkela,2026-07-31 21:55:56.658892,2,258.24,0.02,5.47,18.26,1.93,21.63,24.16,4.21,25.81,26.85,92,1000,1.88,135,Rain,light rain
sundargarh,2026-07-31 21:55:56.850649,2,248.25,0.0,7.72,17.2,1.65,11.53,12.79,8.72,26.64,26.64,84,1000,2.52,200,Rain,light rain
kendujhar,2026-07-31 21:55:57.042058,2,221.67,0.0,4.0,27.14,1.71,21.33,25.65,1.6,22.6,23.47,98,1002,1.31,177,Clouds,overcast clouds
baripada,2026-07-31 21:55:57.230702,2,159.88,0.0,3.44,48.12,2.61,16.97,25.44,2.45,26.39,26.39,91,1000,2.62,191,Clouds,overcast clouds
