city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-29 14:46:07.775757,1,254.77,0.04,5.97,12.41,1.01,8.17,11.28,4.14,25.94,27.04,94,1002,2.74,296,Clouds,overcast clouds
angul,2026-08-29 14:46:07.965869,1,218.6,0.03,4.64,19.89,0.73,7.14,9.27,2.79,25.96,25.96,94,1002,2.27,287,Clouds,overcast clouds
jharsuguda,2026-08-29 14:46:08.162506,2,257.2,0.0,8.82,21.69,1.86,12.8,13.4,0.9,25.33,26.4,95,1003,3.32,255,Rain,light rain
rourkela,2026-08-29 14:46:08.349061,2,278.26,0.0,8.86,18.09,3.61,16.44,17.23,0.82,26.29,26.29,93,1002,1.1,227,Clouds,overcast clouds
sundargarh,2026-08-29 14:46:08.539220,2,284.13,0.0,9.75,17.92,2.09,13.88,14.45,0.9,25.66,26.76,95,1002,2.61,240,Clouds,overcast clouds
kendujhar,2026-08-29 14:46:08.728739,2,234.16,0.0,5.45,24.76,1.49,13.52,14.15,0.58,23.82,24.71,94,1003,1.65,272,Clouds,overcast clouds
baripada,2026-08-29 14:46:08.919074,2,310.87,0.1,17.87,11.3,8.21,21.09,23.27,1.38,28.15,33.68,87,1001,1.35,289,Rain,moderate rain
