city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-12 12:41:14.580958,2,248.93,0.02,7.84,27.76,1.8,11.1,14.09,5.35,28.56,33.73,81,1002,1.96,238,Clouds,overcast clouds
angul,2026-08-12 12:41:14.768757,1,209.59,0.02,5.74,27.15,1.24,8.1,10.28,3.75,28.39,33.28,81,1002,1.77,230,Clouds,overcast clouds
jharsuguda,2026-08-12 12:41:14.957774,1,181.54,0.02,4.09,40.9,1.19,8.02,9.36,2.57,28.39,33.1,80,1002,2.39,217,Rain,light rain
rourkela,2026-08-12 12:41:15.144713,2,187.83,0.01,4.29,38.41,2.98,11.2,12.59,1.75,28.65,33.98,81,1001,2.34,209,Clouds,overcast clouds
sundargarh,2026-08-12 12:41:15.331101,1,191.53,0.03,4.66,37.99,1.22,8.16,9.76,3.2,28.5,33.38,80,1002,2.83,234,Rain,light rain
kendujhar,2026-08-12 12:41:15.533887,1,172.69,0.01,4.45,35.02,2.62,5.81,7.16,1.29,25.18,26.1,90,1003,2.24,237,Clouds,overcast clouds
baripada,2026-08-12 12:41:15.724485,2,286.52,0.02,12.39,41.86,13.71,23.32,27.33,2.79,30.72,37.72,73,1001,2.74,192,Clouds,overcast clouds
