city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-23 12:21:15.725584,2,149.7,0.12,2.38,48.39,0.96,11.04,11.96,2.99,29.21,34.01,74,1003,3.59,254,Rain,light rain
angul,2026-07-23 12:21:16.200998,1,138.43,0.11,1.87,45.8,0.68,9.85,10.59,2.45,28.77,33.32,76,1003,3.06,252,Rain,light rain
jharsuguda,2026-07-23 12:21:16.674080,1,110.62,0.04,1.52,49.65,0.85,6.42,6.93,4.99,24.4,25.06,83,1004,4.45,266,Clouds,overcast clouds
rourkela,2026-07-23 12:21:17.148986,1,123.24,0.06,2.58,44.2,2.13,7.17,7.87,3.72,26.17,26.17,80,1003,4.3,273,Rain,light rain
sundargarh,2026-07-23 12:21:17.628821,1,111.7,0.03,1.55,49.28,0.84,6.67,7.2,5.5,24.14,24.86,86,1004,4.32,252,Clouds,overcast clouds
kendujhar,2026-07-23 12:21:18.105908,1,125.88,0.04,2.17,42.33,1.32,6.31,6.9,1.83,24.71,25.51,87,1004,3.23,241,Rain,light rain
baripada,2026-07-23 12:21:18.590303,2,211.79,0.17,7.48,40.0,6.78,13.02,15.33,3.85,29.42,35.22,77,1002,1.96,213,Rain,moderate rain
