city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-08 07:25:04.682417,2,155.08,0.16,1.88,63.44,2.21,14.56,18.14,2.71,33.22,39.0,57,1001,3.92,242,Clouds,overcast clouds
angul,2026-07-08 07:25:05.095142,2,147.39,0.14,1.6,57.81,1.67,11.78,14.44,2.7,32.52,38.32,60,1002,3.32,235,Clouds,overcast clouds
jharsuguda,2026-07-08 07:25:05.505596,1,117.42,0.1,1.12,56.94,1.15,7.52,8.39,5.7,31.79,36.3,59,1001,5.95,219,Clouds,overcast clouds
rourkela,2026-07-08 07:25:05.913140,1,123.64,0.11,1.52,55.74,2.23,7.51,8.32,4.42,32.82,37.41,55,1001,6.15,232,Clouds,overcast clouds
sundargarh,2026-07-08 07:25:06.331528,1,118.45,0.08,1.16,57.34,1.16,7.94,8.82,5.96,31.92,36.3,58,1001,6.74,218,Clouds,overcast clouds
kendujhar,2026-07-08 07:25:06.746494,1,136.1,0.16,1.36,59.47,2.34,9.98,11.8,2.03,29.77,32.98,63,1003,5.99,233,Clouds,overcast clouds
baripada,2026-07-08 07:25:07.162465,2,164.14,0.18,3.15,79.77,6.96,24.14,31.8,1.71,33.54,40.16,58,1001,3.78,189,Clouds,overcast clouds
