city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-30 06:01:58.480328,1,193.27,0.54,3.19,25.41,0.76,6.78,8.69,4.29,28.05,31.91,78,1002,5.31,276,Rain,light rain
angul,2026-08-30 06:01:58.952140,1,167.56,0.41,2.46,27.3,0.55,6.24,7.58,2.89,27.55,31.0,80,1002,4.1,273,Rain,light rain
jharsuguda,2026-08-30 06:01:59.432390,2,226.35,0.88,5.29,27.27,1.47,11.17,11.82,0.89,28.03,35.03,100,1003,2.57,290,Clouds,overcast clouds
rourkela,2026-08-30 06:01:59.909418,2,268.54,2.09,10.54,11.1,6.11,17.15,18.17,0.48,30.93,37.93,73,1002,1.63,348,Rain,light rain
sundargarh,2026-08-30 06:02:00.378357,2,245.29,1.11,5.42,28.91,1.61,13.0,13.76,0.94,27.94,33.73,91,1003,0.46,176,Rain,light rain
kendujhar,2026-08-30 06:02:00.844128,1,198.2,1.0,4.89,17.98,3.12,8.87,9.41,0.42,27.77,30.73,74,1002,2.2,358,Rain,moderate rain
baripada,2026-08-30 06:02:01.351078,2,335.26,3.71,13.68,5.05,10.77,16.49,18.02,0.93,31.76,38.76,71,1000,3.28,9,Clouds,overcast clouds
