city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-06-24 18:27:00.141899,3,582.01,0.14,15.2,8.65,2.4,37.22,46.2,49.17,29.47,32.97,66,1003,4.44,224,Clouds,overcast clouds
angul,2026-06-24 18:27:00.368547,3,447.2,0.09,10.86,15.69,1.66,27.13,33.49,33.57,28.58,31.67,69,1004,3.94,224,Clouds,overcast clouds
jharsuguda,2026-06-24 18:27:00.692515,2,340.45,0.0,9.88,28.82,1.55,14.86,18.72,21.9,28.58,31.05,65,1003,3.08,204,Clouds,broken clouds
rourkela,2026-06-24 18:27:00.915477,2,356.81,0.01,8.38,24.66,1.44,15.37,20.06,22.87,29.64,31.8,58,1003,2.07,227,Clouds,scattered clouds
sundargarh,2026-06-24 18:27:01.154143,2,391.1,0.0,11.77,27.08,1.87,17.22,21.87,24.88,29.41,32.28,63,1003,2.28,224,Clouds,scattered clouds
kendujhar,2026-06-24 18:27:01.373393,2,370.94,0.04,8.45,18.61,1.12,20.5,25.37,10.92,26.27,26.27,75,1004,2.65,222,Clouds,overcast clouds
baripada,2026-06-24 18:27:01.601724,3,441.78,0.0,11.08,49.35,5.33,45.75,52.82,15.03,30.93,33.98,57,1001,3.78,190,Clouds,overcast clouds
