city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-09 21:10:17.802978,2,268.42,0,4.76,21.71,0.66,15.65,17.82,3.45,27.23,30.7,84,1001,1.28,215,Clouds,overcast clouds
angul,2026-07-09 21:10:18.274771,2,232.12,0,3.63,26.22,0.48,12.5,14.1,2.65,26.74,29.66,86,1002,1.76,215,Clouds,overcast clouds
jharsuguda,2026-07-09 21:10:18.784967,1,198.4,0,4.97,23.37,1.0,7.62,9.25,8.77,25.73,26.6,86,1001,3.0,237,Rain,light rain
rourkela,2026-07-09 21:10:19.270771,1,214.8,0,4.62,24.74,1.32,8.01,8.95,3.21,26.42,26.42,88,1001,2.05,276,Clouds,overcast clouds
sundargarh,2026-07-09 21:10:19.740697,1,213.68,0,5.55,20.75,1.12,8.51,10.33,9.82,25.88,26.82,88,1001,3.69,236,Clouds,overcast clouds
kendujhar,2026-07-09 21:10:20.223044,1,228.76,0,3.73,23.61,0.73,9.43,10.92,1.58,24.49,25.27,87,1002,3.27,239,Clouds,overcast clouds
baripada,2026-07-09 21:10:20.698151,3,290.6,0,8.3,33.33,4.14,26.92,33.14,3.01,27.9,32.3,83,1000,2.2,214,Clouds,overcast clouds
