city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-06-03 17:55:51.867242,4,591.79,0,14.2,28.1,2.31,64.86,75.01,43.83,30.9,35.39,63,1002,5.14,113,Clouds,few clouds
angul,2026-06-03 17:55:52.110827,4,467.68,0,10.15,40.63,1.86,54.18,62.03,30.39,31.4,35.44,59,1002,4.24,108,Clouds,broken clouds
jharsuguda,2026-06-03 17:55:52.347428,3,427.05,0,10.66,70.54,5.2,37.87,45.7,54.07,31.38,31.57,41,1001,3.02,69,Clouds,scattered clouds
rourkela,2026-06-03 17:55:52.583340,4,528.28,0,12.57,53.79,5.73,58.52,70.05,69.93,33.02,34.49,43,1002,3.93,165,Clouds,broken clouds
sundargarh,2026-06-03 17:55:52.815375,3,518.58,0,13.83,66.16,6.47,44.16,54.06,72.59,32.29,32.17,37,1001,3.36,79,Clouds,scattered clouds
kendujhar,2026-06-03 17:55:53.062108,4,459.64,0,9.96,43.0,2.33,52.53,61.23,24.73,26.61,26.61,70,1004,1.93,195,Clouds,few clouds
baripada,2026-06-03 17:55:53.305272,5,527.1,0,11.02,80.49,5.72,85.45,101.87,18.64,30.88,37.57,71,1002,2.12,206,Clouds,broken clouds
