city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-26 05:20:13.115236,1,227.74,1.04,5.02,28.47,1.29,7.1,9.29,8.37,31.33,37.26,66,1000,4.22,349,Rain,light rain
angul,2026-07-26 05:20:13.471640,1,189.19,0.79,3.86,27.49,0.97,6.49,8.01,5.64,30.54,36.39,70,1001,4.16,337,Rain,moderate rain
jharsuguda,2026-07-26 05:20:13.807458,2,226.93,0.43,8.22,22.06,1.64,13.78,14.45,4.28,32.6,37.54,57,1001,3.74,30,Rain,light rain
rourkela,2026-07-26 05:20:14.139883,2,255.3,1.0,10.52,19.92,5.27,17.05,17.83,1.79,31.43,36.91,64,1001,4.02,53,Clouds,overcast clouds
sundargarh,2026-07-26 05:20:14.485572,2,247.8,0.48,9.64,21.0,1.67,15.54,16.3,4.6,31.99,36.46,58,1001,4.21,38,Clouds,overcast clouds
kendujhar,2026-07-26 05:20:14.818385,2,240.56,0.81,8.07,19.48,3.59,14.34,14.75,0.52,27.57,29.97,71,1001,5.84,22,Clouds,overcast clouds
baripada,2026-07-26 05:20:15.155777,3,654.65,1.57,16.98,12.26,6.91,32.92,34.19,2.04,28.54,33.49,80,1000,3.85,15,Rain,light rain
