city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-06-01 19:51:27.840471,4,452.06,0,8.64,55.72,2.29,68.26,79.72,44.55,29.81,33.91,67,1005,2.36,129,Clouds,broken clouds
angul,2026-06-01 19:51:28.056128,4,393.32,0,6.83,50.18,1.78,59.39,68.72,32.96,29.38,32.04,62,1006,1.52,160,Clouds,broken clouds
jharsuguda,2026-06-01 19:51:28.271726,4,632.72,0,15.49,41.74,3.76,56.07,68.25,60.19,30.61,31.46,47,1006,0.93,20,Clear,clear sky
rourkela,2026-06-01 19:51:28.483431,4,513.29,0,9.5,52.4,3.95,71.43,80.26,41.52,29.92,31.25,52,1006,0.54,90,Clear,clear sky
sundargarh,2026-06-01 19:51:28.701350,4,753.03,0,19.23,37.29,4.69,63.3,77.69,77.54,30.44,31.06,46,1006,0.88,189,Clear,clear sky
kendujhar,2026-06-01 19:51:28.908131,4,436.44,0,8.5,44.92,1.97,59.91,68.79,16.23,25.26,25.83,76,1007,1.18,175,Clouds,few clouds
baripada,2026-06-01 19:51:29.124379,4,430.52,0,9.25,62.17,4.38,59.41,74.07,16.12,28.94,32.97,72,1006,2.57,193,Clear,clear sky
