city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-06-22 23:59:13.729707,2,453.39,0.04,8.24,14.88,0.97,18.29,21.57,40.76,28.82,31.82,67,1003,1.97,309,Clouds,overcast clouds
angul,2026-06-22 23:59:13.925232,2,362.82,0.02,5.96,23.23,0.68,13.17,15.49,27.77,28.71,31.45,66,1003,1.59,310,Clouds,overcast clouds
jharsuguda,2026-06-22 23:59:14.113130,1,247.16,0.0,4.45,49.84,0.92,9.66,11.2,14.0,26.97,28.64,68,1003,2.4,253,Clouds,overcast clouds
rourkela,2026-06-22 23:59:14.307923,2,246.08,0.0,4.5,46.85,1.46,10.33,12.15,11.29,26.56,26.56,77,1003,1.61,205,Clouds,overcast clouds
sundargarh,2026-06-22 23:59:14.502942,2,262.27,0.0,5.0,48.16,1.05,10.83,12.53,16.51,26.96,28.47,66,1003,3.01,240,Clouds,broken clouds
kendujhar,2026-06-22 23:59:14.700884,1,271.77,0.01,4.59,33.04,0.68,9.89,11.46,9.17,24.1,24.65,80,1004,1.98,250,Clouds,overcast clouds
baripada,2026-06-22 23:59:14.899160,2,354.46,0.0,11.74,38.29,9.38,23.71,27.17,12.28,28.63,31.94,70,1002,0.84,165,Clouds,overcast clouds
