city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-18 11:14:37.177316,2,171.31,0.37,3.26,29.59,0.55,10.35,11.46,2.21,25.94,26.86,87,1002,5.05,269,Clouds,overcast clouds
angul,2026-08-18 11:14:37.512284,2,154.65,0.26,2.6,30.92,0.43,10.09,10.91,1.54,25.85,26.76,87,1002,4.65,266,Clouds,overcast clouds
jharsuguda,2026-08-18 11:14:37.841014,2,199.96,0.5,6.44,32.27,1.84,14.08,14.45,0.67,26.03,26.03,100,1002,6.69,280,Rain,light rain
rourkela,2026-08-18 11:14:38.177548,2,218.86,0.53,8.39,25.77,4.67,14.16,14.69,0.54,25.59,26.63,93,1001,5.14,237,Rain,light rain
sundargarh,2026-08-18 11:14:38.512366,2,217.74,0.66,7.47,28.1,1.75,15.09,15.44,0.7,25.94,27.17,99,1002,5.96,246,Rain,moderate rain
kendujhar,2026-08-18 11:14:38.845730,1,154.34,0.09,3.98,37.89,1.79,8.88,9.2,0.39,22.76,23.6,96,1002,2.53,235,Clouds,overcast clouds
baripada,2026-08-18 11:14:39.176853,2,191.82,0.6,12.36,28.85,10.79,10.12,11.23,0.8,26.61,26.61,90,1001,2.58,195,Clouds,overcast clouds
