city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-12 12:52:23.781582,1,257.17,0.18,8.72,19.07,1.7,6.39,9.43,10.75,31.29,34.95,58,999,3.74,261,Clouds,overcast clouds
angul,2026-07-12 12:52:24.153196,1,205.79,0.12,6.32,28.56,1.35,4.96,7.13,8.13,30.95,34.5,59,999,3.52,260,Clouds,overcast clouds
jharsuguda,2026-07-12 12:52:24.520752,1,138.05,0.01,4.07,55.32,4.72,7.13,10.12,9.15,31.17,34.7,58,998,4.1,256,Clouds,overcast clouds
rourkela,2026-07-12 12:52:24.921231,2,144.19,0.01,3.65,58.65,4.82,10.49,14.53,6.9,31.46,35.05,57,998,3.89,248,Clouds,overcast clouds
sundargarh,2026-07-12 12:52:25.295107,1,141.6,0.0,4.02,56.15,5.09,7.8,11.5,9.7,32.27,35.65,53,998,3.77,288,Clouds,overcast clouds
kendujhar,2026-07-12 12:52:25.652217,1,151.06,0.01,3.74,45.27,2.42,4.56,5.74,4.56,27.7,29.64,66,1000,3.11,230,Clouds,overcast clouds
baripada,2026-07-12 12:52:26.030737,2,177.18,0.01,11.88,50.13,15.92,11.03,13.69,5.9,32.04,37.79,62,997,2.53,180,Clouds,overcast clouds
