city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-20 10:18:31.962456,2,199.44,0.45,3.43,36.45,0.84,11.05,13.17,4.1,31.95,37.57,62,1001,4.13,280,Clouds,overcast clouds
angul,2026-08-20 10:18:32.158474,2,174.7,0.35,2.5,37.29,0.62,10.19,11.72,2.85,31.62,37.07,63,1001,3.4,275,Clouds,overcast clouds
jharsuguda,2026-08-20 10:18:32.354022,2,171.35,0.18,1.44,74.02,1.35,19.9,20.43,0.77,27.03,31.95,100,1003,1.54,250,Clouds,overcast clouds
rourkela,2026-08-20 10:18:32.448525,2,177.4,0.24,2.1,59.54,2.78,21.71,22.39,0.69,30.04,36.95,77,1001,3.61,213,Clouds,overcast clouds
sundargarh,2026-08-20 10:18:32.631848,2,183.92,0.2,1.52,75.56,1.38,22.47,22.97,0.79,26.94,30.27,87,1002,4.71,225,Rain,light rain
kendujhar,2026-08-20 10:18:32.827570,2,193.47,0.47,3.08,41.98,2.32,15.03,16.52,2.19,27.3,29.88,75,1002,3.26,243,Clouds,overcast clouds
baripada,2026-08-20 10:18:33.018092,2,191.18,0.54,3.53,71.34,6.99,15.98,17.34,0.89,33.19,40.19,61,1000,2.66,205,Rain,light rain
