city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-26 02:17:54.738531,1,280.22,0.68,4.21,5.63,0.89,8.61,12.72,3.88,27.39,30.98,83,1004,2.43,290,Clouds,overcast clouds
angul,2026-08-26 02:17:55.066389,1,228.97,0.46,3.37,12.45,0.74,6.73,9.58,2.63,27.0,30.22,85,1004,1.53,270,Clouds,overcast clouds
jharsuguda,2026-08-26 02:17:55.396049,2,192.8,0.18,5.15,21.67,2.15,10.63,11.85,1.14,27.03,31.95,100,1004,3.09,270,Clouds,overcast clouds
rourkela,2026-08-26 02:17:55.728951,2,236.58,0.16,6.59,16.72,3.2,11.21,12.45,0.88,26.36,26.36,90,1004,1.98,217,Rain,light rain
sundargarh,2026-08-26 02:17:56.060500,2,205.78,0.22,5.75,20.39,2.63,12.47,13.74,1.16,26.94,30.87,93,1004,3.59,209,Clouds,overcast clouds
kendujhar,2026-08-26 02:17:56.391635,1,203.1,0.13,3.92,17.95,1.31,5.55,6.86,0.85,24.76,25.59,88,1005,2.23,242,Clouds,overcast clouds
baripada,2026-08-26 02:17:56.717929,2,334.95,0.53,10.41,10.88,7.79,18.59,22.06,1.63,29.0,34.53,79,1003,0.68,306,Clouds,overcast clouds
