city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
talcher,2026-05-24 12:57:05.450845,4,260.82,0.01,3.03,104.44,3.51,61.29,86.18,7.32
angul,2026-05-24 12:57:05.583694,4,255.91,0.01,3.39,89.34,3.26,58.23,83.34,7.92
jharsuguda,2026-05-24 12:57:05.721020,4,218.51,0.01,4.06,114.29,7.16,48.56,101.05,9.48
rourkela,2026-05-24 12:57:05.853473,5,311.4,0.01,5.44,112.05,11.88,78.02,119.76,10.51
sundargarh,2026-05-24 12:57:05.996356,4,244.41,0.02,4.84,110.46,7.58,51.24,103.94,10.83
kendujhar,2026-05-24 12:57:06.129376,4,283.92,0.01,5.83,100.91,6.49,62.98,93.07,10.9
baripada,2026-05-24 12:57:06.263841,4,281.35,0.01,5.87,96.15,5.68,62.61,89.23,6.57
