city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-06 21:19:26.523307,1,209.19,0,5.32,23.24,1.24,9.51,10.93,2.74,24.98,25.88,90,1000,2.36,148,Clouds,overcast clouds
angul,2026-07-06 21:19:26.745698,1,182.1,0,4.16,28.11,0.96,7.97,8.96,2.05,24.84,25.76,91,1000,1.98,157,Clouds,overcast clouds
jharsuguda,2026-07-06 21:19:26.965331,1,137.97,0,2.91,37.03,0.52,3.91,4.16,3.3,24.21,25.11,93,999,4.36,193,Clouds,overcast clouds
rourkela,2026-07-06 21:19:27.191863,1,136.02,0,2.9,36.36,1.01,4.93,5.21,1.54,25.21,26.06,87,999,3.93,195,Clouds,overcast clouds
sundargarh,2026-07-06 21:19:27.410856,1,139.49,0,3.16,35.74,0.56,4.27,4.53,3.51,24.23,25.14,93,999,4.89,193,Clouds,overcast clouds
kendujhar,2026-07-06 21:19:27.648247,1,154.51,0,2.76,29.07,0.61,5.36,6.28,1.39,22.8,23.51,91,1001,3.17,208,Clouds,overcast clouds
baripada,2026-07-06 21:19:27.874222,2,202.12,0,6.41,35.38,4.11,13.14,18.62,3.44,26.46,26.46,85,1000,2.72,183,Clouds,overcast clouds
