city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-22 16:13:19.323768,1,188.52,0.0,4.21,24.23,0.92,7.92,9.62,3.12,25.97,25.97,87,1005,0.34,262,Clouds,overcast clouds
angul,2026-07-22 16:13:19.520318,1,166.93,0.0,3.42,25.72,0.66,6.99,8.23,2.39,25.65,26.59,89,1005,0.48,206,Clouds,overcast clouds
jharsuguda,2026-07-22 16:13:19.716336,1,141.73,0.0,3.72,29.78,1.06,4.92,6.02,7.03,24.15,25.05,93,1005,3.91,212,Clouds,overcast clouds
rourkela,2026-07-22 16:13:19.911841,1,142.16,0.0,3.59,26.78,1.42,4.81,5.78,2.94,24.88,25.8,91,1005,2.89,210,Clouds,overcast clouds
sundargarh,2026-07-22 16:13:20.103894,1,150.61,0.0,4.22,27.91,1.2,5.15,6.46,8.18,24.3,25.19,92,1005,4.88,213,Clouds,overcast clouds
kendujhar,2026-07-22 16:13:20.304711,1,193.3,0.01,4.36,18.78,1.25,8.12,9.83,1.71,22.57,23.34,94,1006,3.12,209,Rain,light rain
baripada,2026-07-22 16:13:20.515606,2,257.65,0.0,9.7,28.03,5.39,16.34,19.53,2.88,26.14,26.14,89,1005,3.61,193,Clouds,overcast clouds
