city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-12 17:48:49.005444,2,352.16,0.02,6.93,13.1,1.43,22.98,29.94,3.66,28.09,32.33,80,1004,1.8,268,Rain,light rain
angul,2026-08-12 17:48:49.198572,2,280.48,0.02,5.07,15.48,1.0,16.15,21.05,2.62,27.55,31.26,82,1004,1.8,247,Clouds,overcast clouds
jharsuguda,2026-08-12 17:48:49.386891,1,228.03,0.0,4.97,26.72,0.92,7.39,8.76,1.55,26.17,26.17,88,1004,1.52,235,Clouds,overcast clouds
rourkela,2026-08-12 17:48:49.478815,1,200.32,0.0,4.15,28.15,1.63,8.91,10.2,1.13,26.87,30.08,87,1004,1.54,223,Clouds,overcast clouds
sundargarh,2026-08-12 17:48:49.669191,1,243.24,0.0,5.66,25.34,0.98,8.67,10.27,1.85,26.65,26.65,86,1004,1.61,249,Clouds,overcast clouds
kendujhar,2026-08-12 17:48:49.852829,2,274.17,0.02,4.73,15.51,1.86,16.2,18.22,1.27,24.41,25.28,91,1005,1.9,255,Rain,moderate rain
baripada,2026-08-12 17:48:50.066237,3,357.88,0.0,9.14,41.99,7.43,40.56,43.8,1.19,29.55,35.33,76,1003,1.04,283,Rain,very heavy rain
