city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-21 23:13:06.871674,1,213.25,0.0,2.58,18.86,0.4,9.07,9.98,2.1,26.45,26.45,88,1002,1.88,301,Clouds,overcast clouds
angul,2026-08-21 23:13:07.139966,1,181.87,0.0,2.06,27.33,0.37,7.57,8.2,1.45,26.0,26.0,90,1002,1.29,307,Clouds,overcast clouds
jharsuguda,2026-08-21 23:13:07.413035,1,180.99,0.0,4.39,34.62,1.02,8.77,9.05,0.81,25.08,26.1,94,1002,1.98,209,Clouds,overcast clouds
rourkela,2026-08-21 23:13:07.682673,2,205.28,0.0,3.82,31.26,1.97,10.2,10.61,0.72,25.93,26.98,92,1002,0.57,167,Clouds,overcast clouds
sundargarh,2026-08-21 23:13:07.949920,1,197.64,0.0,5.55,30.3,1.21,9.29,9.59,0.88,25.34,26.41,95,1002,1.92,205,Clouds,overcast clouds
kendujhar,2026-08-21 23:13:08.219483,1,205.25,0.0,2.48,22.7,0.8,7.89,8.42,0.95,22.88,23.73,96,1003,1.56,275,Clouds,overcast clouds
baripada,2026-08-21 23:13:08.492165,2,350.8,0.01,7.63,17.06,5.4,20.73,21.84,1.38,27.32,31.29,87,1001,2.13,318,Clouds,overcast clouds
