city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-09-07 00:27:24.130128,1,206.63,0.07,2.4,6.18,0.45,9.75,11.81,5.18,25.81,26.74,88,1008,1.85,293,Clouds,overcast clouds
angul,2026-09-07 00:27:24.302774,1,176.34,0.05,1.84,14.48,0.35,7.98,9.55,3.57,25.5,26.4,88,1008,1.78,266,Clouds,overcast clouds
jharsuguda,2026-09-07 00:27:24.572657,1,169.6,0.0,2.35,25.4,0.57,9.74,11.22,1.49,24.27,25.13,91,1008,2.28,232,Clouds,scattered clouds
rourkela,2026-09-07 00:27:24.847696,2,158.98,0.0,2.07,24.4,0.73,10.15,11.5,1.27,24.82,25.79,93,1008,1.37,217,Clouds,overcast clouds
sundargarh,2026-09-07 00:27:25.114521,2,178.59,0.0,2.63,22.19,0.62,10.79,12.35,1.69,24.29,25.2,93,1008,2.08,231,Clouds,overcast clouds
kendujhar,2026-09-07 00:27:25.375250,1,161.54,0.01,1.89,18.17,0.48,9.0,10.33,1.04,22.62,23.34,92,1009,1.69,248,Clouds,overcast clouds
baripada,2026-09-07 00:27:25.639174,3,283.31,0.03,9.53,15.94,7.87,31.56,35.73,1.52,27.15,30.18,81,1007,1.45,276,Clouds,overcast clouds
