city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-15 11:20:17.406206,2,202.35,0.2,3.05,60.05,0.97,17.38,18.35,3.29,29.64,35.57,76,999,4.48,271,Clouds,overcast clouds
angul,2026-07-15 11:20:17.750991,2,185.85,0.15,2.52,60.82,0.99,15.11,15.96,2.91,29.38,34.65,75,1000,3.85,270,Clouds,overcast clouds
jharsuguda,2026-07-15 11:20:18.093598,2,168.54,0.03,2.42,75.63,2.62,15.19,17.51,8.07,31.04,35.18,61,1000,4.95,220,Clouds,overcast clouds
rourkela,2026-07-15 11:20:18.428854,2,231.7,0.15,7.65,45.02,11.53,16.99,18.48,4.3,28.01,31.24,74,1000,1.36,310,Clouds,overcast clouds
sundargarh,2026-07-15 11:20:18.767222,2,162.38,0.01,2.26,71.33,1.86,10.56,12.96,8.29,32.52,36.75,55,999,4.26,200,Clouds,overcast clouds
kendujhar,2026-07-15 11:20:19.096983,2,213.76,0.2,5.62,48.37,4.28,14.07,14.78,1.7,28.51,32.01,72,1000,3.35,18,Clouds,overcast clouds
baripada,2026-07-15 11:20:19.428080,3,357.61,0.92,14.41,38.88,15.62,38.13,39.92,2.54,32.07,39.07,69,999,1.02,64,Clouds,overcast clouds
