city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-24 16:22:21.364276,2,481.77,0.15,8.42,6.26,1.52,21.2,25.03,5.34,26.65,26.65,90,1002,1.83,233,Clouds,overcast clouds
angul,2026-08-24 16:22:21.545141,2,408.21,0.1,6.84,10.34,1.11,16.39,19.11,3.66,26.27,26.27,91,1003,1.96,233,Rain,light rain
jharsuguda,2026-08-24 16:22:21.765005,2,357.73,0.0,7.71,20.07,1.34,16.94,18.62,1.45,26.14,26.14,90,1002,4.34,255,Rain,light rain
rourkela,2026-08-24 16:22:21.939869,3,487.1,0.11,18.6,9.96,7.8,30.01,31.09,0.6,27.03,30.61,88,1002,0.38,169,Clouds,overcast clouds
sundargarh,2026-08-24 16:22:22.131100,2,344.8,0.0,7.19,22.22,1.27,17.09,18.87,1.47,26.98,30.27,86,1002,2.57,268,Clouds,overcast clouds
kendujhar,2026-08-24 16:22:22.310133,2,486.68,0.09,9.31,7.61,1.66,21.31,22.85,0.96,23.89,24.76,93,1003,1.69,224,Rain,light rain
baripada,2026-08-24 16:22:22.503762,3,517.44,0.28,16.25,15.26,8.52,28.66,31.76,1.41,27.87,33.17,89,1002,2.7,165,Clouds,few clouds
