city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-09-05 13:43:12.065891,2,166.41,0,3.28,33.79,0.86,11.86,14.27,2.84,28.35,32.31,76,1007,2.3,253,Clear,clear sky
angul,2026-09-05 13:43:12.274278,1,147.23,0,2.67,29.47,0.63,9.38,11.34,2.24,27.81,31.49,79,1007,2.04,242,Clear,clear sky
jharsuguda,2026-09-05 13:43:12.502643,2,154.74,0,2.79,50.38,1.23,12.42,14.08,2.71,29.03,36.03,94,1008,1.54,300,Clouds,few clouds
rourkela,2026-09-05 13:43:12.709997,2,144.92,0,2.74,47.14,1.92,14.31,16.26,2.34,27.16,30.31,82,1007,2.6,233,Clear,clear sky
sundargarh,2026-09-05 13:43:12.921515,2,168.26,0,3.24,49.1,1.32,14.01,16.09,3.4,28.94,35.94,89,1008,2.27,229,Clear,clear sky
kendujhar,2026-09-05 13:43:13.129811,2,145.23,0,2.93,34.43,0.93,10.36,12.21,1.95,24.64,25.27,81,1009,2.25,244,Clear,clear sky
baripada,2026-09-05 13:43:13.342545,2,250.35,0,8.44,52.01,5.47,20.63,25.34,3.22,29.38,34.43,74,1007,1.74,175,Clouds,broken clouds
