city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-08-08 20:15:55.676963,2,329.65,0.02,7.48,13.15,1.27,15.99,18.14,11.02,26.19,26.19,90,1001,1.78,122,Rain,light rain
angul,2026-08-08 20:15:56.011631,2,271.38,0.01,5.49,17.22,0.86,12.34,13.83,7.31,26.03,26.03,90,1002,0.58,191,Rain,light rain
jharsuguda,2026-08-08 20:15:56.356277,2,319.13,0.01,8.34,15.32,0.99,15.26,15.77,1.31,25.12,26.14,94,1002,2.69,191,Clouds,overcast clouds
rourkela,2026-08-08 20:15:56.683659,2,294.1,0.0,5.54,15.55,1.99,14.86,15.33,0.98,25.54,26.55,92,1002,1.22,144,Rain,light rain
sundargarh,2026-08-08 20:15:57.011333,2,368.62,0.01,10.52,11.51,1.19,18.4,18.91,1.48,25.17,26.2,94,1002,2.56,184,Clouds,overcast clouds
kendujhar,2026-08-08 20:15:57.343238,2,285.18,0.02,3.87,11.2,1.27,17.71,18.93,1.42,22.98,23.87,97,1003,1.4,160,Clouds,overcast clouds
baripada,2026-08-08 20:15:57.687417,4,425.63,0.0,7.8,33.53,2.13,52.47,58.2,3.04,26.72,30.12,92,1002,1.66,157,Clouds,overcast clouds
