city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-07-31 19:05:32.003596,2,258.68,0,6.5,24.13,2.09,22.3,27.66,2.92,26.32,26.32,93,1002,2.66,116,Clouds,overcast clouds
angul,2026-07-31 19:05:32.473979,2,232.48,0,6.77,25.61,3.11,18.34,22.62,2.23,26.06,26.06,94,1002,1.24,137,Clouds,overcast clouds
jharsuguda,2026-07-31 19:05:32.947876,2,245.8,0,7.12,24.21,1.71,13.32,14.57,7.39,27.03,30.2,84,1001,2.28,164,Rain,light rain
rourkela,2026-07-31 19:05:33.414451,2,230.98,0,5.65,29.87,3.56,20.7,23.44,2.33,26.36,26.36,89,1002,2.72,169,Rain,light rain
sundargarh,2026-07-31 19:05:33.891414,2,248.87,0,6.15,26.34,1.31,14.16,15.54,8.61,27.0,30.03,83,1001,2.53,160,Rain,light rain
kendujhar,2026-07-31 19:05:34.359475,2,217.43,0,4.14,39.64,2.46,24.01,28.92,1.46,23.19,24.12,98,1003,1.77,200,Clouds,overcast clouds
baripada,2026-07-31 19:05:34.835526,2,164.26,0,4.07,54.64,3.08,16.66,24.89,2.4,26.8,30.35,92,1002,3.32,179,Clouds,overcast clouds
