city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description
talcher,2026-06-13 06:45:58.759869,4,288.09,0.11,1.1,106.79,1.89,68.29,73.36,14.15,38.13,40.76,33,1003,2.67,334,Clouds,few clouds
angul,2026-06-13 06:45:59.229046,4,259.99,0.12,0.96,91.38,1.53,57.24,61.88,11.93,38.96,41.56,31,1003,3.27,6,Clouds,scattered clouds
jharsuguda,2026-06-13 06:45:59.703245,3,156.32,0.08,0.61,111.42,1.39,24.93,29.66,7.91,39.71,41.35,27,1003,3.53,200,Clear,clear sky
rourkela,2026-06-13 06:46:00.168402,3,211.88,0.13,1.02,118.24,4.59,40.35,44.84,11.26,41.35,42.54,23,1002,4.31,263,Clouds,few clouds
sundargarh,2026-06-13 06:46:00.634715,3,158.54,0.08,0.58,112.31,1.35,25.89,30.67,8.64,40.0,41.47,26,1003,3.01,195,Clouds,few clouds
kendujhar,2026-06-13 06:46:01.106290,3,218.36,0.1,1.0,101.22,3.29,38.94,42.9,7.88,35.76,36.55,33,1004,3.82,230,Clouds,scattered clouds
baripada,2026-06-13 06:46:01.583284,4,290.44,0.21,2.49,131.9,9.57,64.47,70.92,10.99,39.21,43.33,34,1002,3.93,132,Clouds,few clouds
